id,gene_id,description,developmental_type
7,ENSG00000186092,OR4F5,Tdark
57,ENSG00000187634,SAMD11,Tdark
58,ENSG00000188976,NOC2L,Tbio
59,ENSG00000187961,KLHL17,Tdark
60,ENSG00000187583,PLEKHN1,Tbio
61,ENSG00000187642,PERM1,Tdark
63,ENSG00000188290,HES4,Tbio
64,ENSG00000187608,ISG15,Tbio
67,ENSG00000188157,AGRN,Tbio
70,ENSG00000237330,RNF223,Tdark
71,ENSG00000131591,C1orf159,Tdark
78,ENSG00000162571,TTLL10,Tdark
79,ENSG00000186891,TNFRSF18,Tbio
80,ENSG00000186827,TNFRSF4,Tchem
81,ENSG00000078808,SDF4,Tbio
82,ENSG00000176022,B3GALT6,Tbio
83,ENSG00000184163,C1QTNF12,Tbio
85,ENSG00000160087,UBE2J2,Tbio
87,ENSG00000162572,SCNN1D,Tbio
88,ENSG00000131584,ACAP3,Tbio
90,ENSG00000169972,PUSL1,Tdark
91,ENSG00000127054,INTS11,Tbio
94,ENSG00000224051,CPTP,Tbio
95,ENSG00000169962,TAS1R3,Tbio
96,ENSG00000107404,DVL1,Tchem
98,ENSG00000162576,MXRA8,Tdark
99,ENSG00000175756,AURKAIP1,Tchem
101,ENSG00000221978,CCNL2,Tbio
103,ENSG00000242485,MRPL20,Tdark
105,ENSG00000235098,ANKRD65,Tdark
107,ENSG00000205116,TMEM88B,Tdark
109,ENSG00000179403,VWA1,Tbio
110,ENSG00000215915,ATAD3C,Tdark
111,ENSG00000160072,ATAD3B,Tbio
112,ENSG00000197785,ATAD3A,Tbio
113,ENSG00000205090,TMEM240,Tdark
114,ENSG00000160075,SSU72,Tbio
117,ENSG00000228594,FNDC10,Tdark
119,ENSG00000197530,MIB2,Tbio
120,ENSG00000189409,MMP23B,Tbio
121,ENSG00000248333,CDK11B,Tchem
123,ENSG00000189339,SLC35E2B,Tdark
126,ENSG00000008128,CDK11A,Tchem
129,ENSG00000008130,NADK,Tbio
130,ENSG00000078369,GNB1,Tbio
132,ENSG00000169885,CALML6,Tbio
133,ENSG00000178821,TMEM52,Tdark
134,ENSG00000142609,CFAP74,Tdark
136,ENSG00000187730,GABRD,Tclin
138,ENSG00000067606,PRKCZ,Tchem
141,ENSG00000162585,FAAP20,Tbio
143,ENSG00000157933,SKI,Tbio
144,ENSG00000116151,MORN1,Tbio
148,ENSG00000157916,RER1,Tbio
149,ENSG00000157911,PEX10,Tbio
150,ENSG00000149527,PLCH2,Tbio
153,ENSG00000157881,PANK4,Tbio
154,ENSG00000197921,HES5,Tbio
157,ENSG00000157873,TNFRSF14,Tbio
161,ENSG00000142606,MMEL1,Tchem
163,ENSG00000215912,TTC34,Tdark
167,ENSG00000169717,ACTRT2,Tdark
169,ENSG00000142611,PRDM16,Tbio
174,ENSG00000130762,ARHGEF16,Tbio
176,ENSG00000162591,MEGF6,Tdark
179,ENSG00000158109,TPRG1L,Tbio
180,ENSG00000116213,WRAP73,Tbio
181,ENSG00000078900,TP73,Tbio
185,ENSG00000162592,CCDC27,Tdark
186,ENSG00000235169,SMIM1,Tbio
187,ENSG00000130764,LRRC47,Tdark
190,ENSG00000116198,CEP104,Tbio
191,ENSG00000169598,DFFB,Tbio
192,ENSG00000198912,C1orf174,Tdark
200,ENSG00000196581,AJAP1,Tbio
207,ENSG00000131697,NPHP4,Tbio
208,ENSG00000069424,KCNAB2,Tbio
209,ENSG00000116254,CHD5,Tbio
210,ENSG00000116251,RPL22,Tbio
212,ENSG00000158286,RNF207,Tbio
213,ENSG00000116237,ICMT,Tchem
214,ENSG00000225077,LINC00337,Tdark
215,ENSG00000173673,HES3,Tbio
216,ENSG00000158292,GPR153,Tdark
217,ENSG00000097021,ACOT7,Tbio
218,ENSG00000069812,HES2,Tdark
219,ENSG00000187017,ESPN,Tbio
222,ENSG00000215788,TNFRSF25,Tbio
223,ENSG00000171680,PLEKHG5,Tbio
224,ENSG00000162408,NOL9,Tdark
227,ENSG00000173662,TAS1R1,Tbio
228,ENSG00000204859,ZBTB48,Tbio
229,ENSG00000162413,KLHL21,Tbio
230,ENSG00000116273,PHF13,Tbio
231,ENSG00000041988,THAP3,Tdark
232,ENSG00000007923,DNAJC11,Tbio
235,ENSG00000171735,CAMTA1,Tbio
245,ENSG00000049245,VAMP3,Tbio
247,ENSG00000049246,PER3,Tbio
249,ENSG00000049247,UTS2,Tbio
250,ENSG00000049249,TNFRSF9,Tbio
252,ENSG00000116288,PARK7,Tbio
254,ENSG00000116285,ERRFI1,Tbio
262,ENSG00000162426,SLC45A1,Tdark
264,ENSG00000142599,RERE,Tbio
274,ENSG00000074800,ENO1,Tchem
282,ENSG00000131686,CA6,Tclin
284,ENSG00000197241,SLC2A7,Tdark
285,ENSG00000142583,SLC2A5,Tbio
287,ENSG00000180758,GPR157,Tdark
291,ENSG00000049239,H6PD,Tbio
292,ENSG00000171621,SPSB1,Tbio
295,ENSG00000171612,SLC25A33,Tbio
297,ENSG00000188807,TMEM201,Tbio
298,ENSG00000171608,PIK3CD,Tclin
299,ENSG00000179840,PIK3CD-AS1,Tdark
302,ENSG00000171603,CLSTN1,Tbio
305,ENSG00000178585,CTNNBIP1,Tbio
306,ENSG00000162441,LZIC,Tdark
308,ENSG00000173614,NMNAT1,Tbio
312,ENSG00000162444,RBP7,Tbio
313,ENSG00000130939,UBE4B,Tbio
317,ENSG00000054523,KIF1B,Tbio
320,ENSG00000142657,PGD,Tchem
322,ENSG00000175279,CENPS,Tbio
323,ENSG00000241563,CORT,Tbio
324,ENSG00000160049,DFFA,Tbio
325,ENSG00000142655,PEX14,Tbio
327,ENSG00000130940,CASZ1,Tbio
330,ENSG00000175262,C1orf127,Tdark
332,ENSG00000120948,TARDBP,Tchem
333,ENSG00000009724,MASP2,Tchem
335,ENSG00000116649,SRM,Tchem
336,ENSG00000171824,EXOSC10,Tbio
339,ENSG00000198793,MTOR,Tclin
342,ENSG00000171819,ANGPTL7,Tbio
345,ENSG00000120942,UBIAD1,Tbio
348,ENSG00000204624,DISP3,Tbio
350,ENSG00000116661,FBXO2,Tbio
351,ENSG00000132879,FBXO44,Tbio
352,ENSG00000116663,FBXO6,Tbio
353,ENSG00000116670,MAD2L2,Tbio
354,ENSG00000162490,DRAXIN,Tbio
355,ENSG00000177674,AGTRAP,Tbio
356,ENSG00000215910,C1orf167,Tdark
358,ENSG00000177000,MTHFR,Tbio
359,ENSG00000011021,CLCN6,Tchem
361,ENSG00000175206,NPPA,Tchem
362,ENSG00000120937,NPPB,Tbio
366,ENSG00000116685,KIAA2013,Tdark
367,ENSG00000083444,PLOD1,Tbio
368,ENSG00000116688,MFN2,Tbio
370,ENSG00000116691,MIIP,Tbio
374,ENSG00000120949,TNFRSF8,Tclin
378,ENSG00000028137,TNFRSF1B,Tbio
382,ENSG00000048707,VPS13D,Tdark
385,ENSG00000162496,DHRS3,Tbio
389,ENSG00000204518,AADACL4,Tdark
391,ENSG00000188984,AADACL3,Tdark
392,ENSG00000157330,C1orf158,Tdark
393,ENSG00000116726,PRAMEF12,Tdark
394,ENSG00000116721,PRAMEF1,Tdark
396,ENSG00000239810,PRAMEF11,Tdark
398,ENSG00000179172,HNRNPCL1,Tdark
399,ENSG00000120952,PRAMEF2,Tdark
400,ENSG00000243073,PRAMEF4,Tdark
401,ENSG00000187545,PRAMEF10,Tdark
402,ENSG00000204510,PRAMEF7,Tdark
405,ENSG00000232423,PRAMEF6,Tdark
407,ENSG00000274764,PRAMEF27,Tdark
408,ENSG00000277058,HNRNPCL3,Tdark
409,ENSG00000229571,PRAMEF25,Tdark
412,ENSG00000275774,HNRNPCL2,Tdark
415,ENSG00000280267,PRAMEF26,Tdark
416,ENSG00000179412,HNRNPCL4,Tdark
417,ENSG00000204505,PRAMEF9,Tdark
418,ENSG00000279169,PRAMEF13,Tdark
419,ENSG00000279804,PRAMEF18,Tdark
421,ENSG00000270601,PRAMEF5,Tdark
424,ENSG00000182330,PRAMEF8,Tdark
425,ENSG00000237700,PRAMEF33,Tdark
428,ENSG00000204481,PRAMEF14,Tdark
429,ENSG00000204480,PRAMEF19,Tdark
430,ENSG00000204479,PRAMEF17,Tdark
431,ENSG00000204478,PRAMEF20,Tdark
432,ENSG00000162494,LRRC38,Tbio
435,ENSG00000162493,PDPN,Tbio
439,ENSG00000116731,PRDM2,Tbio
440,ENSG00000189337,KAZN,Tbio
446,ENSG00000171729,TMEM51,Tdark
447,ENSG00000204464,C1orf195,Tdark
450,ENSG00000142621,FHAD1,Tdark
454,ENSG00000142634,EFHD2,Tbio
455,ENSG00000162438,CTRC,Tchem
456,ENSG00000142615,CELA2A,Tbio
457,ENSG00000215704,CELA2B,Tdark
458,ENSG00000132906,CASP9,Tchem
459,ENSG00000116138,DNAJC16,Tdark
462,ENSG00000116771,AGMAT,Tbio
467,ENSG00000197312,DDI2,Tbio
469,ENSG00000116786,PLEKHM2,Tbio
471,ENSG00000162461,SLC25A34,Tdark
472,ENSG00000162460,TMEM82,Tdark
474,ENSG00000162458,FBLIM1,Tbio
476,ENSG00000233954,UQCRHL,Tdark
479,ENSG00000065526,SPEN,Tbio
481,ENSG00000116809,ZBTB17,Tbio
487,ENSG00000173641,HSPB7,Tbio
488,ENSG00000186510,CLCNKA,Tchem
490,ENSG00000184908,CLCNKB,Tchem
491,ENSG00000185519,FAM131C,Tdark
492,ENSG00000142627,EPHA2,Tclin
495,ENSG00000142632,ARHGEF19,Tbio
499,ENSG00000037637,FBXO42,Tbio
500,ENSG00000055070,SZRD1,Tdark
502,ENSG00000187144,SPATA21,Tdark
503,ENSG00000157191,NECAP2,Tdark
505,ENSG00000080947,CROCCP3,Tdark
513,ENSG00000219481,NBPF1,Tdark
515,ENSG00000215908,CROCCP2,Tdark
524,ENSG00000279132,FAM231C,Tdark
528,ENSG00000186715,MST1L,Tdark
537,ENSG00000058453,CROCC,Tbio
538,ENSG00000117122,MFAP2,Tbio
540,ENSG00000159363,ATP13A2,Tbio
541,ENSG00000117118,SDHB,Tchem
542,ENSG00000117115,PADI2,Tchem
545,ENSG00000142623,PADI1,Tchem
546,ENSG00000142619,PADI3,Tchem
548,ENSG00000159339,PADI4,Tchem
549,ENSG00000276747,PADI6,Tbio
550,ENSG00000179051,RCC2,Tbio
551,ENSG00000074964,ARHGEF10L,Tbio
553,ENSG00000117148,ACTL8,Tbio
555,ENSG00000117154,IGSF21,Tdark
559,ENSG00000179023,KLHDC7A,Tdark
562,ENSG00000009709,PAX7,Tbio
563,ENSG00000179002,TAS1R2,Tbio
564,ENSG00000159423,ALDH4A1,Tbio
567,ENSG00000169991,IFFO2,Tdark
569,ENSG00000127481,UBR4,Tbio
