id,gene_id,description,developmental_type
0,ENSG00000223972,DDX11L1,NA
1,ENSG00000227232,WASH7P,NA
2,ENSG00000278267,MIR6859-1,NA
3,ENSG00000243485,MIR1302-2HG,NA
4,ENSG00000237613,FAM138A,NA
5,ENSG00000268020,OR4G4P,NA
6,ENSG00000240361,OR4G11P,NA
7,ENSG00000186092,OR4F5,Tdark
8,ENSG00000238009,RP11-34P13.7,NA
9,ENSG00000233750,CICP27,NA
10,ENSG00000268903,RP11-34P13.15,NA
11,ENSG00000269981,RP11-34P13.16,NA
12,ENSG00000239906,RP11-34P13.14,NA
13,ENSG00000241860,RP11-34P13.13,NA
14,ENSG00000222623,RNU6-1100P,NA
15,ENSG00000241599,RP11-34P13.9,NA
16,ENSG00000279928,ABC7-43046700E7.1,NA
17,ENSG00000279457,RP11-34P13.18,NA
18,ENSG00000273874,MIR6859-2,NA
19,ENSG00000228463,AP006222.2,NA
20,ENSG00000236679,RPL23AP24,NA
21,ENSG00000236743,RP5-857K21.15,NA
22,ENSG00000236601,RP4-669L17.2,NA
23,ENSG00000237094,RP4-669L17.10,NA
24,ENSG00000269732,WBP1LP7,NA
25,ENSG00000278566,OR4F29,NA
26,ENSG00000233653,CICP7,NA
27,ENSG00000250575,RP4-669L17.8,NA
28,ENSG00000278757,U6,NA
29,ENSG00000230021,RP5-857K21.4,NA
30,ENSG00000235146,RP5-857K21.2,NA
31,ENSG00000225972,MTND1P23,NA
32,ENSG00000225630,MTND2P28,NA
33,ENSG00000237973,MTCO1P12,NA
34,ENSG00000229344,MTCO2P12,NA
35,ENSG00000240409,MTATP8P1,NA
36,ENSG00000248527,MTATP6P1,NA
37,ENSG00000198744,MTCO3P12,NA
38,ENSG00000268663,WBP1LP6,NA
39,ENSG00000273547,OR4F16,NA
40,ENSG00000283574,RP11-206L10.17,NA
41,ENSG00000229376,CICP3,NA
42,ENSG00000228327,RP11-206L10.2,NA
43,ENSG00000223181,RNU6-1199P,NA
44,ENSG00000229905,RP11-206L10.4,NA
45,ENSG00000237491,RP11-206L10.9,NA
46,ENSG00000230092,RP11-206L10.8,NA
47,ENSG00000177757,FAM87B,NA
48,ENSG00000228794,LINC01128,NA
49,ENSG00000225880,LINC00115,NA
50,ENSG00000230368,FAM41C,NA
51,ENSG00000234711,TUBB8P11,NA
52,ENSG00000283040,FAM166AP3,NA
53,ENSG00000272438,RP11-54O7.16,NA
54,ENSG00000230699,RP11-54O7.1,NA
